"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CPU1";"DIP-40_W15.24mm_Socket";1;"Z80CPU";;;
2;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"CLK_EXT";;;
3;"J7,J6,J5,J3,J2";"PinHeader_1x10_P2.54mm_Vertical";5;"Conn_01x10";;;
4;"C9,C8,C7,C5,C4";"C_Rect_L7.0mm_W2.0mm_P5.00mm";5;"100n";;;
5;"C6";"C_Rect_L7.0mm_W2.0mm_P5.00mm";1;"220n";;;
6;"U3";"DIP-14_W7.62mm_LongPads";1;"74LS74";;;
7;"U4";"DIP-14_W7.62mm_LongPads";1;"74LS32";;;
8;"R7,R9,R6,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
9;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220";;;
10;"D1";"LED_D3.0mm_FlatTop";1;"LED";;;
11;"Y1";"Crystal_HC51-U_Vertical";1;"3.58MHz";;;
12;"U2";"DIP-16_W10.16mm_LongPads";1;"74LS138";;;
13;"U1";"DIP-14_W7.62mm_LongPads";1;"74HC14";;;
14;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"47k";;;
15;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100R";;;
16;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"330";;;
17;"J4";"PinHeader_1x02_P2.54mm_Horizontal";1;"Conn_02x01";;;
18;"J1";"PinHeader_2x01_P2.54mm_Vertical";1;"RESET SWITCH";;;
19;"IC10";"DIP-14_W7.62mm_LongPads";1;"74LS00";;;
20;"C3";"CP_Radial_D7.5mm_P2.50mm";1;"1nF";;;
21;"C2";"CP_Radial_D4.0mm_P1.50mm";1;"100n";;;
22;"C1";"CP_Radial_D4.0mm_P1.50mm";1;"120p";;;
